"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Ryan Buchter","Athletics",".296","0.55","28.6%","25.2%","46.2%","10.9%","14.5%","19","3.77","306","494","800","42.3%","32.5%","25.2%","14.6%","44.7%","40.7%","9456"
"John Brebbia","Cardinals",".293","0.53","22.6%","26.9%","50.5%","12.8%","6.4%","42","5.20","403","814","1217","34.8%","31.6%","33.7%","20.9%","40.6%","38.5%","12777"
"Bobby Poyner","Red Sox",".267","0.53","18.8%","28.1%","53.1%","11.8%","11.8%","5","3.86","80","145","225","31.3%","31.3%","37.5%","25.0%","46.9%","28.1%","17987"
"Yimi Garcia","Dodgers",".171","0.53","14.5%","29.6%","56.0%","11.2%","16.9%","26","3.75","342","656","998","39.8%","28.6%","31.7%","18.6%","43.5%","37.9%","12095"
"Nick Tropeano","Angels",".286","0.52","27.1%","25.0%","47.9%","8.7%","26.1%","4","2.63","113","160","273","43.8%","20.8%","35.4%","12.5%","33.3%","54.2%","12385"
"Jeffrey Springs","Rangers",".354","0.51","31.3%","23.2%","45.5%","8.9%","8.9%","23","6.40","255","410","665","30.3%","32.3%","37.4%","14.1%","52.5%","33.3%","17677"
"Daniel Descalso","Cubs",".250","0.50","40.0%","20.0%","40.0%","0.0%","50.0%","0","0.00","5","9","14","60.0%","0.0%","40.0%","20.0%","20.0%","60.0%","8392"
"Kendrys Morales","Athletics",".250","0.50","25.0%","25.0%","50.0%","0.0%","0.0%","1","9.00","11","10","21","50.0%","25.0%","25.0%","50.0%","25.0%","25.0%","8610"
"Chris Davis","Orioles",".333","0.50","25.0%","25.0%","50.0%","0.0%","50.0%","0","0.00","6","16","22","50.0%","50.0%","0.0%","0.0%","25.0%","75.0%","9272"
"Taijuan Walker","Diamondbacks",".333","0.50","0.0%","33.3%","66.7%","0.0%","0.0%","0","0.00","4","11","15","33.3%","0.0%","66.7%","0.0%","33.3%","66.7%","11836"
"Sean Gilmartin","Orioles",".455","0.50","7.7%","30.8%","61.5%","12.5%","25.0%","3","11.57","28","40","68","53.9%","30.8%","15.4%","23.1%","23.1%","53.9%","12781"
"Jacob Stallings","Pirates",".000","0.50","0.0%","33.3%","66.7%","50.0%","0.0%","2","18.00","2","5","7","66.7%","33.3%","0.0%","33.3%","66.7%","0.0%","13723"
"Ray Black","- - -",".243","0.50","21.4%","26.2%","52.4%","4.5%","22.7%","5","2.81","103","179","282","45.2%","28.6%","26.2%","16.7%","35.7%","47.6%","14244"
"Caleb Frare","White Sox",".167","0.50","14.3%","28.6%","57.1%","0.0%","25.0%","3","10.13","27","26","53","57.1%","28.6%","14.3%","0.0%","57.1%","42.9%","14353"
"Yohander Mendez","Rangers",".333","0.50","25.0%","25.0%","50.0%","25.0%","50.0%","2","3.86","51","49","100","37.5%","37.5%","25.0%","12.5%","37.5%","50.0%","14391"
"Anthony Banda","Rays",".375","0.50","25.0%","25.0%","50.0%","12.5%","0.0%","5","11.25","19","40","59","56.3%","37.5%","6.3%","6.3%","43.8%","50.0%","14706"
"Ben Lively","Royals",".500","0.50","40.0%","20.0%","40.0%","0.0%","50.0%","1","9.00","9","18","27","40.0%","60.0%","0.0%","40.0%","0.0%","60.0%","14932"
"Jaime Schultz","Dodgers",".333","0.50","25.0%","25.0%","50.0%","0.0%","12.5%","3","5.40","38","58","96","25.0%","12.5%","62.5%","6.3%","50.0%","43.8%","15066"
"Mike Ford","Yankees",".444","0.50","18.2%","27.3%","54.5%","0.0%","33.3%","1","4.50","14","28","42","27.3%","45.5%","27.3%","18.2%","36.4%","45.5%","15585"
"A.J. Reed","White Sox",".000","0.50","0.0%","33.3%","66.7%","0.0%","0.0%","0","0.00","5","7","12","33.3%","33.3%","33.3%","0.0%","66.7%","33.3%","16246"
"Harrison Musgrave","Rockies",".321","0.50","25.0%","25.0%","50.0%","21.4%","0.0%","4","3.60","83","122","205","28.6%","39.3%","32.1%","14.3%","53.6%","32.1%","16532"
"Jimmy Herget","Reds",".286","0.50","34.8%","21.7%","43.5%","10.0%","20.0%","4","5.68","35","60","95","47.8%","30.4%","21.7%","21.7%","34.8%","43.5%","17556"
"Phillip Diehl","Rockies",".391","0.50","37.5%","20.8%","41.7%","0.0%","10.0%","3","3.68","48","90","138","33.3%","41.7%","25.0%","8.3%","45.8%","45.8%","20030"
"Caleb Smith","Marlins",".251","0.50","21.4%","26.1%","52.5%","13.3%","15.6%","88","5.17","941","1720","2661","40.1%","31.8%","28.2%","16.8%","45.9%","37.4%","14875"
"Jason Adam","Blue Jays",".237","0.48","23.3%","25.0%","51.7%","16.1%","3.2%","10","4.15","168","229","397","31.7%","28.3%","40.0%","21.7%","45.0%","33.3%","11861"
"Nick Goody","Indians",".245","0.48","20.8%","25.7%","53.5%","20.4%","13.0%","20","4.43","254","455","709","35.6%","25.7%","38.6%","24.8%","38.6%","36.6%","13685"
"Drew Steckenrider","Marlins",".094","0.48","2.6%","31.6%","65.8%","12.0%","24.0%","0","0.00","91","146","237","31.6%","42.1%","26.3%","21.1%","34.2%","44.7%","18806"
"Daniel Zamora","Mets",".346","0.47","15.4%","26.9%","57.7%","0.0%","6.7%","2","2.08","65","104","169","37.0%","18.5%","44.4%","7.4%","51.9%","40.7%","17811"
"Cody Stashak","Twins",".351","0.47","18.2%","26.0%","55.8%","11.6%","7.0%","20","7.20","96","273","369","41.6%","40.3%","18.2%","14.3%","45.5%","40.3%","18088"
"Mike Mayers","Cardinals",".316","0.46","31.7%","21.7%","46.7%","14.3%","10.7%","12","5.68","151","206","357","31.7%","38.3%","30.0%","16.7%","40.0%","43.3%","15451"
"Edubray Ramos","Phillies",".311","0.46","16.3%","26.5%","57.1%","17.9%","17.9%","6","3.60","106","179","285","42.0%","22.0%","36.0%","28.0%","42.0%","30.0%","16086"
"Robby Scott","Diamondbacks",".350","0.45","15.8%","26.3%","57.9%","9.1%","9.1%","7","8.59","74","90","164","47.6%","28.6%","23.8%","33.3%","23.8%","42.9%","13042"
"Sean Doolittle","Nationals",".313","0.45","19.0%","25.3%","55.7%","15.5%","11.3%","17","2.55","325","750","1075","28.8%","34.5%","36.7%","19.8%","42.4%","37.9%","1581"
"Enderson Franco","Giants",".214","0.44","13.3%","26.7%","60.0%","11.1%","11.1%","1","1.69","26","62","88","33.3%","40.0%","26.7%","40.0%","40.0%","20.0%","11896"
"Lucas Sims","Reds",".253","0.44","18.6%","24.7%","56.7%","9.1%","14.5%","30","6.28","281","470","751","38.4%","36.4%","25.3%","19.2%","48.5%","32.3%","13470"
"Josh Rogers","Orioles",".234","0.43","20.4%","24.1%","55.6%","10.0%","23.3%","7","4.40","104","159","263","38.9%","33.3%","27.8%","5.6%","44.4%","50.0%","18510"
"Ryan Garton","Mariners",".200","0.43","16.7%","25.0%","58.3%","14.3%","28.6%","0","0.00","27","36","63","41.7%","50.0%","8.3%","16.7%","25.0%","58.3%","14016"
"Kyle Keller","Marlins",".091","0.43","20.0%","24.0%","56.0%","35.7%","21.4%","2","1.69","81","112","193","40.0%","32.0%","28.0%","24.0%","36.0%","40.0%","18890"
"Jimmie Sherfy","Diamondbacks",".373","0.42","31.5%","20.4%","48.1%","11.5%","15.4%","7","3.44","109","207","316","34.6%","41.8%","23.6%","21.8%","40.0%","38.2%","15118"
"Steve Wilkerson","Orioles",".211","0.42","19.0%","23.8%","57.1%","0.0%","16.7%","2","3.38","15","47","62","38.1%","52.4%","9.5%","14.3%","42.9%","42.9%","16041"
"Neil Ramirez","- - -",".288","0.40","19.2%","23.3%","57.5%","16.7%","16.7%","3","1.08","171","290","461","34.3%","37.0%","28.8%","24.7%","39.7%","35.6%","7677"
"Darren O'Day","Braves",".231","0.40","46.2%","15.4%","38.5%","20.0%","0.0%","0","0.00","28","50","78","30.8%","23.1%","46.2%","23.1%","30.8%","46.2%","3321"
"Aaron Barrett","Nationals",".400","0.40","30.0%","20.0%","50.0%","20.0%","20.0%","0","0.00","36","32","68","45.5%","27.3%","27.3%","9.1%","63.6%","27.3%","11243"
"Tom Murphy","Mariners",".125","0.40","12.5%","25.0%","62.5%","0.0%","0.0%","0","0.00","13","29","42","12.5%","37.5%","50.0%","0.0%","50.0%","50.0%","13499"
"Josh Hader","Brewers",".232","0.40","22.8%","22.0%","55.1%","21.4%","21.4%","23","2.74","361","820","1181","31.5%","33.1%","35.4%","21.3%","42.5%","36.2%","14212"
"Nick Burdi","Pirates",".526","0.40","30.0%","20.0%","50.0%","10.0%","10.0%","4","4.15","43","118","161","30.0%","35.0%","35.0%","15.0%","45.0%","40.0%","16074"
"Luke Farrell","Rangers",".100","0.36","6.3%","25.0%","68.8%","9.1%","13.6%","6","4.05","81","131","212","39.4%","24.2%","36.4%","21.2%","51.5%","27.3%","15101"
"Gabe Speier","Royals",".200","0.36","6.3%","25.0%","68.8%","18.2%","18.2%","1","1.23","59","94","153","29.4%","35.3%","35.3%","17.7%","52.9%","29.4%","17170"
"Heath Hembree","Red Sox",".273","0.36","17.9%","21.7%","60.4%","12.5%","10.9%","15","3.40","270","448","718","37.7%","34.9%","27.4%","14.2%","53.8%","32.1%","11632"
"Eduardo Nunez","Red Sox",".000","0.33","0.0%","25.0%","75.0%","0.0%","33.3%","3","27.00","5","9","14","25.0%","50.0%","25.0%","0.0%","50.0%","50.0%","6848"
"Tim Federowicz","Rangers",".400","0.33","33.3%","16.7%","50.0%","33.3%","33.3%","0","0.00","3","10","13","66.7%","16.7%","16.7%","16.7%","50.0%","33.3%","8609"
"Chris Rusin","Rockies",".571","0.33","50.0%","12.5%","37.5%","0.0%","33.3%","4","36.00","11","14","25","50.0%","50.0%","0.0%","25.0%","25.0%","50.0%","9895"
"Hanser Alberto","Orioles",".000","0.33","0.0%","25.0%","75.0%","0.0%","33.3%","0","0.00","11","9","20","50.0%","50.0%","0.0%","0.0%","50.0%","50.0%","11902"
"Nick Rumbelow","Mariners",".250","0.33","33.3%","16.7%","50.0%","0.0%","66.7%","0","0.00","17","23","40","33.3%","16.7%","50.0%","0.0%","33.3%","66.7%","14867"
"Chase De Jong","Twins",".400","0.33","33.3%","16.7%","50.0%","66.7%","33.3%","0","0.00","22","24","46","33.3%","0.0%","66.7%","33.3%","33.3%","33.3%","15036"
"Justin Miller","Nationals",".256","0.32","21.3%","19.1%","59.6%","14.3%","17.9%","2","1.15","112","163","275","39.6%","29.2%","31.3%","20.8%","54.2%","25.0%","8580"
"Cody Allen","Angels",".259","0.30","15.2%","19.7%","65.2%","11.6%","20.9%","5","1.96","208","283","491","28.8%","43.9%","27.3%","13.6%","31.8%","54.6%","12183"
"Jose Fernandez","Tigers",".357","0.30","13.3%","20.0%","66.7%","10.0%","10.0%","2","4.91","32","45","77","33.3%","33.3%","33.3%","6.7%","40.0%","53.3%","14733"
"Colin Poche","Rays",".235","0.29","19.3%","18.3%","62.4%","16.2%","13.2%","20","3.48","287","583","870","26.1%","32.4%","41.4%","18.0%","41.4%","40.5%","19403"
"Marco Estrada","Athletics",".208","0.29","14.5%","19.3%","66.3%","27.3%","12.7%","10","3.80","154","254","408","40.5%","33.3%","26.2%","27.4%","33.3%","39.3%","1118"
"Paul Sewald","Mets",".294","0.27","20.8%","17.0%","62.3%","15.2%","9.1%","15","6.86","114","216","330","33.3%","33.3%","33.3%","18.5%","42.6%","38.9%","13892"
"Andrew Moore","Mariners",".267","0.27","17.6%","17.6%","64.7%","0.0%","18.2%","1","1.93","29","49","78","41.2%","47.1%","11.8%","0.0%","70.6%","29.4%","17553"
"Trevor Kelley","Red Sox",".259","0.26","17.2%","17.2%","65.5%","5.3%","10.5%","0","0.00","61","102","163","37.9%","41.4%","20.7%","6.9%","48.3%","44.8%","18454"
"Charlie Culberson","Braves",".286","0.25","28.6%","14.3%","57.1%","25.0%","0.0%","0","0.00","24","28","52","42.9%","42.9%","14.3%","14.3%","14.3%","71.4%","3298"
"Tony Barnette","Cubs",".250","0.25","0.0%","20.0%","80.0%","0.0%","25.0%","0","0.00","12","13","25","20.0%","20.0%","60.0%","0.0%","40.0%","60.0%","3555"
"Austin Romine","Yankees",".400","0.25","28.6%","14.3%","57.1%","0.0%","50.0%","0","0.00","6","15","21","57.1%","0.0%","42.9%","0.0%","42.9%","57.1%","5491"
"Brian Dozier","Nationals",".250","0.25","0.0%","20.0%","80.0%","25.0%","25.0%","3","27.00","7","9","16","40.0%","20.0%","40.0%","40.0%","40.0%","20.0%","9810"
"Michael Blazek","Nationals",".250","0.23","23.8%","14.3%","61.9%","30.8%","7.7%","4","7.20","39","47","86","23.8%","47.6%","28.6%","23.8%","33.3%","42.9%","9654"
"Chris Owings","Royals",".444","0.20","45.5%","9.1%","45.5%","0.0%","40.0%","0","0.00","16","28","44","36.4%","45.5%","18.2%","9.1%","18.2%","72.7%","10030"
"Humberto Arteaga","Royals",".167","0.20","14.3%","14.3%","71.4%","0.0%","20.0%","1","5.40","9","14","23","28.6%","42.9%","28.6%","14.3%","28.6%","57.1%","13595"
"Joel Payamps","Diamondbacks",".364","0.20","40.0%","10.0%","50.0%","0.0%","0.0%","2","4.50","31","35","66","36.4%","45.5%","18.2%","18.2%","27.3%","54.6%","14332"
"John Ryan Murphy","Diamondbacks",".438","0.18","31.6%","10.5%","57.9%","18.2%","27.3%","3","9.00","26","44","70","42.1%","31.6%","26.3%","26.3%","26.3%","47.4%","10346"
"Tyler White","Astros",".273","0.18","13.3%","13.3%","73.3%","9.1%","36.4%","0","0.00","48","40","88","46.7%","33.3%","20.0%","6.7%","46.7%","46.7%","15564"
"Arodys Vizcaino","Braves",".286","0.17","12.5%","12.5%","75.0%","0.0%","16.7%","1","2.25","24","44","68","50.0%","25.0%","25.0%","25.0%","25.0%","50.0%","5498"
"Jake Barrett","Yankees",".364","0.13","30.8%","7.7%","61.5%","12.5%","25.0%","1","2.45","30","40","70","30.8%","23.1%","46.2%","7.7%","69.2%","23.1%","13322"
"Dellin Betances","Yankees",".000","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","1","7","8","","","","","","","6216"
"Ben Zobrist","Cubs",".000","0.00","50.0%","0.0%","50.0%","0.0%","0.0%","0","0.00","11","8","19","0.0%","50.0%","50.0%","50.0%","0.0%","50.0%","7435"
"Deolis Guerra","Brewers",".600","0.00","66.7%","0.0%","33.3%","0.0%","50.0%","0","0.00","3","14","17","66.7%","0.0%","33.3%","16.7%","50.0%","33.3%","8410"
"Jedd Gyorko","Cardinals",".000","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","1","3","4","","","","","","","10816"
"Chasen Shreve","Cardinals",".333","0.00","50.0%","0.0%","50.0%","0.0%","0.0%","5","22.50","19","23","42","33.3%","33.3%","33.3%","16.7%","50.0%","33.3%","10855"
"Ryan O'Rourke","Mets",".000","0.00","0.0%","0.0%","100.0%","50.0%","0.0%","0","0.00","13","8","21","0.0%","0.0%","100.0%","50.0%","50.0%","0.0%","10976"
"Nick Martini","Athletics",".000","0.00","50.0%","0.0%","50.0%","0.0%","0.0%","0","0.00","9","7","16","0.0%","100.0%","0.0%","50.0%","50.0%","0.0%","12005"
"Matt Ramsey","Angels",".000","0.00","0.0%","0.0%","100.0%","0.0%","0.0%","0","0.00","4","7","11","0.0%","50.0%","50.0%","0.0%","100.0%","0.0%","14460"
"Jose Castillo","Padres",".000","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","8","9","17","","","","","","","17169"
"Jorge Alcala","Twins",".200","0.00","40.0%","0.0%","60.0%","0.0%","0.0%","0","0.00","11","18","29","80.0%","0.0%","20.0%","0.0%","100.0%","0.0%","19459"
"Andrew Vasquez","Twins",".000","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","11","2","13","","","","","","","19482"
